"Department.Code","Department.Name","SubDept.Code","SubDept.Name","Program.Code","Program.Name","Performance.Measure.Code","Performance.Measure.Name","Unit","Budget","Performance.Measure.Amount"
"94","Transportation","94LVL5","Transportation","9406","Parking Citation Processing Services","94TICKET","Two Year Parking Ticket Collection Rate","percentage","2015-16 Adopted Budget",86
"94","Transportation","94LVL5","Transportation","9408","District Offices","94SERVICE","Number of Service Requests Closed","","2015-16 Adopted Budget",19900
"94","Transportation","94LVL5","Transportation","9409","Traffic Signals and Systems","94SIGNAL","Percent of Signal Calls Responded to Within One Hour","","2015-16 Adopted Budget",55
"94","Transportation","94LVL5","Transportation","9412","Public Transit Services","94TRANSIT","Percent of LADOT Transit On-Time Arrivals ","","2015-16 Adopted Budget",90
"94","Transportation","94LVL5","Transportation","9413","Major Project Coordination","94METRO","Percent of Metro Plans Reviewed within 20 Business Days","","2015-16 Adopted Budget",100
"94","Transportation","94LVL5","Transportation","9416","Active Transportation","94BIKELANE","Number of Miles of Bike Lanes and Paths in the City ","","2015-16 Adopted Budget",582
"2","Aging","02LVL5","Aging","201","Senior Services","02MEALS","Number of Home Delivered and Congregate Meals Provided","","2015-16 Actuals",1467375
"2","Aging","02LVL5","Aging","202","Family Caregiver Services","02CAREGIVER","Number of Participants in Caregiver Information Sessions","","2015-16 Actuals",8490
"2","Aging","02LVL5","Aging","203","Older Workers Program","02OLDERWORKER","Number of Participants in the Older Workers Program","","2015-16 Actuals",180
"6","Animal Services","06LVL5","Animal Services","601","Animal Control and Law Enforcement","06LICENSE","Number of Animal Licenses Sold","","2015-16 Actuals",131959
"6","Animal Services","06LVL5","Animal Services","602","Shelter Operations and Animal Care","06LIVESAVE","Animal Live/Save Rate ","percentage","2015-16 Actuals",78.74
"6","Animal Services","06LVL5","Animal Services","607","Animal Medical Services","06SPAYNEUTER","Number of Spay/Neuter Surgeries","","2015-16 Actuals",3922
"6","Animal Services","06LVL5","Animal Services","609","Public Counters and Community Services","06VOLUNTEER","Number of Volunteer Hours","","2015-16 Actuals",55530
"8","Building and Safety","08LVL5","Building and Safety","811","Structural Plan Checking","08PLANCHECK","Percent of Plan Check Jobs Completed in 15 Days","","2015-16 Actuals",78
"8","Building and Safety","08LVL5","Building and Safety","812","Green Buildings and Electrical and Mechanical Engineering","08MECHPLANCK","Percent of Mechanical Plan Check Jobs Completed in 15 Days","","2015-16 Actuals",89
"8","Building and Safety","08LVL5","Building and Safety","813","Grading Reports and Inspection","08GRADEREPORT","Percent of New Grading Reports Completed in 30 Days","","2015-16 Actuals",100
"8","Building and Safety","08LVL5","Building and Safety","814","Residential Inspection","08RESINSPECT","Percent of Residential Inspections Completed in 24 Hours","","2015-16 Actuals",85
"8","Building and Safety","08LVL5","Building and Safety","815","Commercial Inspection and Licensing","08PLUMBINSPECT","Percent of Plumbing Inspections Completed in 24 Hours","","2015-16 Actuals",89
"8","Building and Safety","08LVL5","Building and Safety","816","Development Services Case Management","08CASEMGMT","Percent of Case Management Projects Contacted in 5 Days","","2015-16 Actuals",100
"8","Building and Safety","08LVL5","Building and Safety","817","Residential and Commercial Code Enforcement","08COMPLAINT","Percent of Code Enforcement Complaints Closed in 60 Days","","2015-16 Actuals",52
"8","Building and Safety","08LVL5","Building and Safety","818","Conservation of Existing Structures and Mechanical Devices","08RESPROPERTY","Percent of Residential Property Reports Completed in 15 Days","","2015-16 Actuals",100
"10","City Administrative Officer","10LVL5","City Administrative Officer","1001","Budget Formulation and Control","10RF%GF","Reserve Fund as a Percent of the Adopted General Fund Budget","","2015-16 Actuals",8.18
"10","City Administrative Officer","10LVL5","City Administrative Officer","1002","Management Services","10IFAPPS","Percent of Submitted Innovation Fund Applications Reviewed","","2015-16 Actuals",100
"10","City Administrative Officer","10LVL5","City Administrative Officer","1004","Risk Management","10INSDOCSSUBMIT","Percent of Contractors Self-Submitting Ins Docs - Track4LA","","2015-16 Actuals",90
"14","City Clerk","14LVL5","City Clerk","1401","Council and Public Services","14CITYRECORDS","Number of City Records Viewed","","2015-16 Actuals",2568614
"14","City Clerk","14LVL5","City Clerk","1405","Records Management","14ARCHIVAL","Number of Archival Documents and Records Digitized on Demand","","2015-16 Actuals",708
"14","City Clerk","14LVL5","City Clerk","1406","Special Assessments","14ANNUALPLAN","Number of Annual Planning Reports Submitted by March 1","","2015-16 Actuals",25
"14","City Clerk","14LVL5","City Clerk","1407","Mayor and City Council Administrative Support","14ACCOUNTING","Number of Accounting Documents Processed","","2015-16 Actuals",13066
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2202","Adult Workforce Development","22ADULTJOBS","Number of WIA-Funded Adults Placed in Jobs","","2015-16 Actuals",10000
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2205","Economic Development","22NEWJOBS","Number of New Jobs Created Through Business Source Centers","","2015-16 Actuals",1039
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2207","Youth Workforce Development","22HIRELA","Number of HireLA's Youth Placed in Employment","","2015-16 Actuals",11644
"26","Controller","26LVL5","Controller","2601","Accounting and Disbursement of City Funds","26DISBURSEMENTS","Paymaster Disbursements","","2015-16 Actuals",343710
"26","Controller","26LVL5","Controller","2602","Financial Reporting of City and Grant Funds","26FINREPORTS","Percent of Financial Reports Submitted On Time","","2015-16 Actuals",100
"30","Cultural Affairs","30LVL5","Cultural Affairs","3001","Community Arts","30ARTFACILITIES","Number of Individuals Served by Arts Facilities and Centers","","2015-16 Actuals",283872
"30","Cultural Affairs","30LVL5","Cultural Affairs","3002","Marketing and Development","30LEVERAGED","Donations Received as a Percent of DCA Operating Budget","","2015-16 Actuals",14
"30","Cultural Affairs","30LVL5","Cultural Affairs","3003","Public Art","30ARTPROJECTS","Number of Public Art Projects Completed During the Year","","2015-16 Actuals",36
"30","Cultural Affairs","30LVL5","Cultural Affairs","3004","Grants Program","30RESIDENTS","Number of Los Angeles Residents and Visitors Served","in millions","2015-16 Actuals",3
"32","Information Technology Agency","32LVL5","Information Technology Agency","3201","Public Safety Systems Development and Support","32PSSYSTEMS","Percent of System Availability for Public Safety Systems","","2015-16 Actuals",99.92
"32","Information Technology Agency","32LVL5","Information Technology Agency","3202","Public Safety Communications","32PSRADIO","Percent of System Availability for LAFD & LAPD Radio Systems","","2015-16 Actuals",100
"32","Information Technology Agency","32LVL5","Information Technology Agency","3203","3-1-1 Operations","32311CALLS","Percent of 3-1-1 Calls Answered","","2015-16 Actuals",82
"32","Information Technology Agency","32LVL5","Information Technology Agency","3204","Cable Television","32CH35PROG","Hours of Channel 35 Programming Produced","","2015-16 Actuals",628
"32","Information Technology Agency","32LVL5","Information Technology Agency","3206","Office Systems Support","32EMAIL","Percent of Email System Availability","","2015-16 Actuals",95
"32","Information Technology Agency","32LVL5","Information Technology Agency","3207","Systems Development and Support","32LATAX","Percent of LATAX System Availability in Tax Renewal Season","","2015-16 Actuals",99.7
"32","Information Technology Agency","32LVL5","Information Technology Agency","3208","Enterprise and Distributed Systems and Operation","32DATACENTER","Percent of Data Center Servers Virtualized","","2015-16 Actuals",70
"32","Information Technology Agency","32LVL5","Information Technology Agency","3209","Network Engineering and Operations","32VOICE","Percent of Voice, Call Center, & Video Systems Availability","","2015-16 Actuals",100
"32","Information Technology Agency","32LVL5","Information Technology Agency","3210","Data Engineering and Operations","32NETWORK","Percent of Network Availability","","2015-16 Actuals",99.9
"32","Information Technology Agency","32LVL5","Information Technology Agency","3211","Business Applications and Web Services","32WEBSITE","Percent of LACity.org Website Availability","","2015-16 Actuals",99
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3301","History and Museums","33ELPTOURS","Number of Tours at the El Pueblo Monument ","","2015-16 Actuals",9661
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3302","Marketing and Events","33ELPATTEND","Number of Cultural, Traditional, and Informational Attendees","","2015-16 Actuals",582623
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3348","Property Management","33PERCENTWO","Percent of Work Orders Completed","","2015-16 Actuals",85
"35","Emergency Management","35LVL5","Emergency Management","3501","Emergency Management","35COMMUNITYPLAN","Number of Neighborhood/Community Plans Prepared","","2015-16 Actuals",7
"36","Employee Relations Board","36LVL5","Employee Relations Board","3601","Employee Relations","36UERP","Number of UERP Related Filings","","2015-16 Actuals",110
"38","Fire","38LVL5","Fire","3801","Arson Investigation and Counter-Terrorism","38INVESTIGATION","Percentage Convictions in Arson Cases","","2015-16 Actuals",93
"38","Fire","38LVL5","Fire","3803","Fire Suppression","38FIRETRAVEL","Average Travel Time to Fire Incident","in minutes.seconds","2015-16 Actuals",4.26
"38","Fire","38LVL5","Fire","3803","Fire Suppression","38FIRETURNOUT","Average Time to Leave Station after Notified - Fire Incident","in minutes.seconds","2015-16 Actuals",1
"38","Fire","38LVL5","Fire","3804","Metropolitan Fire Communications","38DISPATCH","Call Processing Time","in minutes","2015-16 Actuals",1.02
"38","Fire","38LVL5","Fire","3805","Hazardous Materials Enforcement","38REVENUE","Hazardous Materials Enforcement Revenue Collected","in millions","2015-16 Actuals",5.4
"38","Fire","38LVL5","Fire","3806","Fire Prevention","38INSPECTION","Percent of Construction Inspections Completed in 72 hours","","2015-16 Actuals",88
"38","Fire","38LVL5","Fire","3808","Emergency Medical Service","38EMSTRAVEL","Average Travel Time to EMS Incident","in minutes.seconds","2015-16 Actuals",4.28
"38","Fire","38LVL5","Fire","3808","Emergency Medical Service","38EMSTURNOUT","Average Time to Leave Station after Notified - EMS Incident","in minutes.seconds","2015-16 Actuals",1.04
"38","Fire","38LVL5","Fire","3847","Training","38TRAINING","Recruit Class Retention Rate","percentage","2015-16 Actuals",81
"38","Fire","38LVL5","Fire","3848","Procurement, Maintenance and Repair","38FLEET","Fleet Availability Rate","percentage","2015-16 Actuals",83.82
"39","Finance","39LVL5","Finance","3901","Revenue Management","39LIEN","Percent of Lien Cases Solved","","2015-16 Actuals",75
"39","Finance","39LVL5","Finance","3902","Treasury Services","39TREASURY","Percent of Treasury Management Requests Resolved in One Day","","2015-16 Actuals",75
"39","Finance","39LVL5","Finance","3905","LATAX System Support","39LATAX","Number of Renewals Processed in LATAX","","2015-16 Actuals",633490
"39","Finance","39LVL5","Finance","3906","Customer Service","39CALLS","Percent of Call Center Calls Answered","","2015-16 Actuals",99
"39","Finance","39LVL5","Finance","3909","Tax and Permit","39AUDIT","Percent of Accounts Audited","","2015-16 Actuals",5.18
"40","General Services","40LVL5","General Services","4001","Custodial Services","40CLEAN","Percent of Municipal Facilities Cleaned Daily ","","2015-16 Actuals",100
"40","General Services","40LVL5","General Services","4003","Construction Forces","40CONSTESTIMATE","Construction Projects Completed within Original Estimate","Percentage","2015-16 Actuals",0
"40","General Services","40LVL5","General Services","4005","Parking Services","40PARKINGREV","Revenue from Department-Operated Parking Facilities","in millions of dollars","2015-16 Actuals",13
"40","General Services","40LVL5","General Services","4007","Emergency Management and Special Services","40DRILLS1","Number of Required Biannual Emergency Drills Completed","at Six City Highrise Buildings","2015-16 Actuals",12
"40","General Services","40LVL5","General Services","4008","Fleet Services","40BOSVEHICLES","Vehicle Availability Rate for Bureau of Sanitation","percentage","2015-16 Actuals",84
"40","General Services","40LVL5","General Services","4009","Fuel and Environmental Compliance","40FUELSITE","Percent of City-Owned Fuel Sites Inspected Monthly","","2015-16 Actuals",100
"40","General Services","40LVL5","General Services","4010","Standards and Testing Services","40MATTEST","Number of Materials Tested for Pavement Preservation Program","","2015-16 Actuals",147411
